"Strain	""Standard force""	""Time"""
"mm	""N""	""h"""
"0	215.337	3.71866"
"1.39773e-005	215.27	3.71867"
"1.90313e-005	255.445	3.71938"
"5.46368e-007	295.889	3.71963"
"1.33344e-005	336.246	3.71987"
"-6.70345e-006	376.266	3.72014"
"1.06375e-005	416.496	3.7204"
"-1.62491e-005	456.518	3.72071"
"1.50512e-005	496.731	3.72098"
"6.14084e-006	536.796	3.72127"
"1.28746e-005	577.083	3.72158"
"2.52062e-005	617.403	3.7219"
"1.67835e-005	657.607	3.72222"
"2.79193e-005	697.951	3.72254"
"-1.56815e-005	720.863	3.72272"
"-1.56815e-005	720.863	3.72272"
"-1.44e-005	761.037	3.72304"
"-3.29521e-006	801.242	3.72335"
"-3.95097e-006	841.3	3.72366"
"3.46207e-005	881.605	3.72398"
"-2.23076e-006	921.838	3.7243"
"3.92411e-006	961.916	3.72461"
"-2.80148e-006	1002.07	3.72493"
"2.4642e-005	1042.24	3.72525"
"-1.55925e-005	1082.36	3.72557"
"-1.90608e-005	1122.46	3.7259"
"8.3882e-006	1162.72	3.72622"
"8.36701e-006	1202.96	3.72655"
"3.33787e-006	1243.04	3.72688"
"1.16426e-005	1283.39	3.7272"
"9.55415e-006	1323.65	3.72753"
"1.17446e-005	1363.72	3.72786"
"5.56529e-006	1403.74	3.7282"
"5.66494e-006	1444.09	3.72852"
"-1.45508e-005	1484.35	3.72885"
"2.005e-005	1524.42	3.72918"
"1.62841e-006	1564.43	3.72951"
"1.16494e-005	1604.67	3.72985"
"4.94392e-006	1644.87	3.73018"
"5.02134e-006	1685.1	3.73054"
"2.73962e-005	1725.2	3.73087"
"-6.7521e-006	1765.28	3.73121"
"-1.12115e-005	1805.52	3.73155"
"-1.46013e-005	1845.85	3.73188"
"-2.26363e-006	1886.16	3.73221"
"1.05812e-005	1926.48	3.73254"
"-5.03367e-006	1966.77	3.73287"
"-3.02918e-005	2006.85	3.73321"
"1.34286e-005	2047.05	3.73354"
"6.65233e-006	2087.11	3.73388"
"8.39071e-006	2127.16	3.73421"
"-1.18086e-005	2167.23	3.73454"
"-2.24574e-006	2207.46	3.73488"
"1.45588e-005	2247.79	3.73521"
"1.28079e-005	2287.88	3.73555"
"-1.68245e-005	2328.09	3.73589"
"-2.59553e-008	2368.41	3.73623"
"-3.85928e-006	2408.67	3.73656"
"1.61245e-005	2448.8	3.7369"
"1.66933e-006	2489	3.73723"
"3.18423e-005	2529.16	3.73756"
"2.24099e-005	2569.41	3.7379"
"5.011e-006	2609.67	3.73823"
"-1.01101e-005	2649.83	3.73857"
"3.46984e-005	2689.96	3.73891"
"5.49961e-006	2730.26	3.73926"
"5.50031e-006	2770.36	3.73959"
"2.79613e-005	2810.52	3.73993"
"1.29093e-005	2850.8	3.74027"
"1.89778e-005	2891.02	3.7406"
"1.17359e-005	2931.18	3.74094"
"-6.08524e-006	2971.19	3.74127"
"9.47429e-006	3011.34	3.74161"
"-2.33879e-005	3051.46	3.74195"
"2.45614e-005	3091.55	3.74228"
"-1.2892e-005	3131.69	3.74262"
"1.00678e-005	3171.74	3.74296"
"-1.6283e-005	3211.94	3.74329"
"1.39733e-005	3252.24	3.74363"
"6.69571e-006	3292.3	3.74398"
"-2.59328e-006	3332.41	3.74431"
"2.9633e-005	3372.58	3.74465"
"-3.90237e-006	3412.77	3.74499"
"-2.20363e-006	3452.85	3.74532"
"1.74078e-005	3493.09	3.74567"
"1.39245e-005	3533.28	3.74601"
"-1.45462e-005	3573.45	3.74636"
"-2.28434e-006	3613.5	3.74671"
"-2.14969e-006	3653.8	3.74706"
"-5.74563e-007	3693.82	3.7474"
"-1.45942e-005	3733.93	3.74775"
"1.23014e-005	3774.04	3.7481"
"-1.67868e-006	3814.14	3.74845"
"-5.06974e-006	3854.25	3.74878"
"3.02348e-005	3894.49	3.74914"
"1.06212e-005	3934.78	3.74949"
"2.52153e-005	3974.98	3.74984"
"1.8999e-005	4015.16	3.7502"
"1.67959e-005	4055.39	3.75054"
"2.2417e-005	4095.46	3.75089"
"-2.72969e-006	4135.5	3.75123"
"3.35546e-005	4175.62	3.75158"
"-1.06594e-005	4215.63	3.75192"
"-5.64892e-006	4255.81	3.75227"
"1.50916e-005	4296.06	3.7526"
"2.57608e-005	4301.49	3.75265"
"7.87942e-006	4307.72	3.75271"
"-1.60738e-005	4312.7	3.91938"
"1.28815e-005	4313.41	4.08605"
"2.6917e-005	4312.88	4.25272"
"1.28778e-005	4311.53	4.41939"
"2.79713e-005	4305.16	4.58606"
"2.52243e-005	4310.01	4.75273"
"2.24147e-005	4319.02	4.9194"
"2.80129e-005	4315.76	5.08607"
"2.0193e-005	4316.13	5.25274"
"3.80776e-005	4319.6	5.41941"
"4.37118e-005	4312.2	5.58608"
"3.97673e-005	4313.45	5.75275"
"3.0896e-005	4306.27	5.91942"
"3.58948e-005	4311.21	6.08609"
"5.8984e-005	4306.15	6.25276"
"4.03784e-005	4310.9	6.41943"
"4.88165e-005	4313.74	6.5861"
"3.58761e-005	4310.6	6.75276"
"6.94961e-005	4315.81	6.91943"
"3.20085e-005	4312.72	7.0861"
"5.87784e-005	4307.54	7.25277"
"6.8405e-005	4307.96	7.41944"
"5.37836e-005	4313.5	7.58611"
"5.38245e-005	4315.16	7.75278"
"7.89943e-005	4310.52	7.91945"
"5.99814e-005	4310.41	8.08612"
"4.81695e-005	4305.24	8.25279"
"5.88351e-005	4313.09	8.41946"
"5.77391e-005	4311.41	8.58613"
"3.70196e-005	4312.73	8.7528"
"6.98692e-005	4312.18	8.91947"
"6.33608e-005	4313.24	9.08614"
"5.26137e-005	4314.9	9.25281"
"5.15723e-005	4323.22	9.41948"
"2.91861e-005	4315.13	9.58615"
"6.65714e-005	4313.06	9.75281"
"6.10703e-005	4310.1	9.91948"
"4.81907e-005	4302.8	10.0862"
"6.44859e-005	4303.9	10.2528"
"7.67689e-005	4304.72	10.4195"
"5.6609e-005	4306.44	10.5862"
"5.94525e-005	4313.49	10.7528"
"4.48243e-005	4311.51	10.9195"
"6.67064e-005	4310.38	11.0862"
"3.2556e-005	4305.83	11.2528"
"5.83385e-005	4304.98	11.4195"
"3.3289e-005	4304.43	11.5862"
"4.3728e-005	4308.52	11.7528"
"5.71681e-005	4314	11.9195"
"5.94209e-005	4310.08	12.0862"
"3.30902e-005	4307.28	12.2529"
"6.9541e-005	4316.02	12.4195"
"8.63175e-005	4316.62	12.5862"
"5.19234e-005	4319.81	12.7529"
"6.16547e-005	4322.7	12.9195"
"3.92226e-005	4315.58	13.0862"
"5.88523e-005	4316.44	13.2529"
"6.67095e-005	4323.77	13.4195"
"4.66071e-005	4323.97	13.5862"
"6.44564e-005	4315.32	13.7529"
"7.01006e-005	4323.15	13.9196"
"7.51068e-005	4313.32	14.0862"
"5.15846e-005	4321.38	14.2529"
"7.40153e-005	4312.86	14.4196"
"5.83104e-005	4319.62	14.5862"
"7.12121e-005	4317.66	14.7529"
"3.61004e-005	4317.34	14.9196"
"0.000106325	4319.07	15.0862"
"5.22332e-005	4314.08	15.2529"
"7.28899e-005	4315.25	15.4196"
"8.28799e-005	4313.51	15.5862"
"4.15151e-005	4317.7	15.7529"
"7.56803e-005	4320.83	15.9196"
"7.12128e-005	4315.35	16.0863"
"6.89628e-005	4315.45	16.2529"
"7.57318e-005	4314.26	16.4196"
"7.17328e-005	4314.52	16.5863"
"6.3317e-005	4313.85	16.7529"
"7.34296e-005	4316.28	16.9196"
"8.41203e-005	4314.82	17.0863"
"6.05691e-005	4316.67	17.2529"
"4.44715e-005	4313.78	17.4196"
"7.2307e-005	4311.82	17.5863"
"5.95203e-005	4312.38	17.7529"
"6.72624e-005	4312.89	17.9196"
"8.73614e-005	4312.26	18.0863"
"7.00828e-005	4305.5	18.253"
"7.79666e-005	4313.16	18.4196"
"6.22147e-005	4308.94	18.5863"
"5.16689e-005	4309.97	18.753"
"8.29379e-005	4312.59	18.9196"
"7.55787e-005	4316.62	19.0863"
"8.07338e-005	4316.62	19.253"
"6.50802e-005	4320.09	19.4196"
"6.72941e-005	4325.2	19.5863"
"6.68042e-005	4314.2	19.753"
"8.35058e-005	4313.28	19.9197"
"7.12683e-005	4312.14	20.0863"
"5.15693e-005	4314.09	20.253"
"5.10399e-005	4313.16	20.4197"
"6.89074e-005	4312.78	20.5863"
"6.05757e-005	4313	20.753"
"3.64356e-005	4305.04	20.9197"
"8.24334e-005	4314.43	21.0863"
"7.11236e-005	4312.76	21.253"
"6.67197e-005	4313.13	21.4197"
"6.61364e-005	4317.08	21.5863"
"8.6781e-005	4313.65	21.753"
"4.66018e-005	4313.67	21.9197"
"9.62229e-005	4313.45	22.0864"
"5.38319e-005	4312.74	22.253"
"3.0275e-005	4313.98	22.4197"
"6.70587e-005	4304.57	22.5864"
"4.37499e-005	4306.4	22.753"
"7.39695e-005	4311.06	22.9197"
"6.59967e-005	4313.34	23.0864"
"4.88318e-005	4310.7	23.253"
"7.89699e-005	4316.03	23.4197"
"4.76465e-005	4314.38	23.5864"
"4.48899e-005	4312.69	23.753"
"6.49893e-005	4312.67	23.9197"
"2.3027e-005	4312.41	24.0864"
"4.87543e-005	4305.37	24.2531"
"4.70429e-005	4313.69	24.4197"
"6.3331e-005	4312.55	24.5864"
"5.15761e-005	4317.05	24.7531"
"1.63314e-005	4316.37	24.9197"
"6.14643e-005	4319.53	25.0864"
"3.85973e-005	4317.02	25.2531"
"2.91394e-005	4315.89	25.4197"
"4.20217e-005	4317.35	25.5864"
"3.64659e-005	4315.96	25.7531"
"5.38475e-005	4315.81	25.9197"
"5.60666e-005	4315.44	26.0864"
"5.03911e-005	4315.98	26.2531"
"4.65275e-005	4318.66	26.4198"
"5.03425e-005	4326.1	26.5864"
"7.72647e-005	4316.63	26.7531"
"5.37253e-005	4320.89	26.9198"
"1.74068e-005	4313.13	27.0864"
"5.66295e-005	4313.86	27.2531"
"4.42961e-005	4315.94	27.4198"
"6.55782e-005	4314	27.5864"
"5.8356e-005	4318	27.7531"
"8.85296e-005	4314.06	27.9198"
"7.41524e-005	4316.18	28.0865"
"9.36366e-005	4315.79	28.2531"
"6.34053e-005	4314.17	28.4198"
"5.28958e-005	4316.37	28.5865"
"7.791e-005	4315.45	28.7531"
"5.66826e-005	4311.48	28.9198"
"7.00498e-005	4312.65	29.0865"
"9.19062e-005	4314.54	29.2531"
"7.5137e-005	4313.51	29.4198"
"6.56237e-005	4311.52	29.5865"
"7.17569e-005	4313.08	29.7531"
"4.22576e-005	4314.1	29.9198"
"5.6296e-005	4312.94	30.0865"
"7.62633e-005	4318.34	30.2532"
"0.000104296	4314.61	30.4198"
"8.40942e-005	4313.72	30.5865"
"7.62702e-005	4313.48	30.7532"
"6.3379e-005	4302.31	30.9198"
"9.52899e-005	4305.76	31.0865"
"6.89793e-005	4317.83	31.2532"
"6.84548e-005	4314.73	31.4198"
"4.83295e-005	4314.19	31.5865"
"9.85602e-005	4312.92	31.7532"
"0.00010135	4322.25	31.9198"
"5.55378e-005	4320.9	32.0865"
"8.01962e-005	4316.4	32.2532"
"7.40546e-005	4315.49	32.4199"
"0.000108015	4314.03	32.5865"
"9.08257e-005	4323.88	32.7532"
"7.85284e-005	4313.99	32.9199"
"7.07039e-005	4314.24	33.0865"
"7.0089e-005	4314.87	33.2532"
"8.63006e-005	4317.7	33.4199"
"6.56628e-005	4319.02	33.5865"
"6.50394e-005	4311.64	33.7532"
"9.64284e-005	4314.81	33.9199"
"8.86336e-005	4312.4	34.0866"
"7.34886e-005	4313.58	34.2532"
"6.84266e-005	4313.95	34.4199"
"8.80332e-005	4317.78	34.5866"
"9.06067e-005	4314.67	34.7532"
"6.05696e-005	4313.64	34.9199"
"8.35031e-005	4316.96	35.0866"
"9.74611e-005	4314.26	35.2532"
"7.19921e-005	4316.11	35.4199"
"5.55776e-005	4309.06	35.5866"
"6.90171e-005	4308.17	35.7532"
"7.12104e-005	4312.32	35.9199"
"0.000103711	4313.95	36.0866"
"7.17814e-005	4315.53	36.2533"
"6.74201e-005	4320.03	36.4199"
"7.18714e-005	4323.52	36.5866"
"0.000108182	4314.5	36.7533"
"8.0178e-005	4317.53	36.9199"
"9.64354e-005	4316.92	37.0866"
"8.52086e-005	4313.2	37.2533"
"0.0001043	4312.28	37.4199"
"5.84053e-005	4312.48	37.5866"
"2.51115e-005	4314.4	37.7533"
"7.72647e-005	4314.75	37.9199"
"8.57575e-005	4315.39	38.0866"
"6.56537e-005	4313.26	38.2533"
"7.06609e-005	4311.97	38.42"
"8.12995e-005	4311.6	38.5866"
"6.00059e-005	4312.85	38.7533"
"5.71873e-005	4303.62	38.92"
"8.46333e-005	4313.63	39.0866"
"6.61646e-005	4313.7	39.2533"
"8.62541e-005	4313.04	39.42"
"5.44241e-005	4316.72	39.5866"
"0.000108062	4320.16	39.7533"
"9.97579e-005	4313.94	39.92"
"5.72214e-005	4316.16	40.0866"
"8.25071e-005	4311.57	40.2533"
"9.476e-005	4313.93	40.42"
"0.000100374	4306.62	40.5867"
"8.97101e-005	4307.51	40.7533"
"7.96583e-005	4304.73	40.92"
"0.00010374	4310.07	41.0867"
"5.22543e-005	4313.85	41.2533"
"8.07792e-005	4320.7	41.42"
"6.8488e-005	4323.51	41.5867"
"0.000110464	4321.61	41.7533"
